ID,Salary
SID10000,2394.4121311065173
SID100030,3398.9110540216443
SID100204,5343.792171641807
SID100220,2137.018676870098
SID100230,2239.0508136781136
SID100289,2756.8407035867544
SID100340,2032.6403125754075
SID100393,2095.7396822296673
SID100395,4976.8099106805985
SID100441,2980.421083348019
SID100477,3616.8960839570764
SID100546,1859.073258537686
SID10058,4617.360376685493
SID100610,4536.731195862353
SID10063,1923.4295828325203
SID100822,2512.740822558736
SID100831,1908.234737036822
SID100966,2571.6540310935075
SID101017,3218.458053881438
SID101252,4922.052428948032
SID101283,2084.1002344287454
SID10136,2646.0267135160557
SID101371,2831.2278058795337
SID101455,2177.871203061249
SID10150,3076.9651519907015
SID10155,2180.5601042492385
SID101851,4141.206631863921
SID101934,1882.2886522246467
SID102009,1953.4187845800896
SID102163,2252.9781418845387
SID102172,2145.6495757478247
SID102376,2994.825315622975
SID10238,3635.26434719535
SID102594,3277.995931908779
SID102783,2239.0090480845474
SID102858,2779.027469954912
SID103277,2734.303949663763
SID103302,2792.613161720755
SID103306,2222.5833662023497
SID103346,4577.951610915315
SID103419,2756.239397091292
SID103606,2350.9817921055687
SID103666,1736.8918154084902
SID103689,1868.417452237011
SID103796,1777.9093333139856
SID103858,2423.599344839316
SID103891,1809.6757935001049
SID10404,3629.8458571092056
SID104048,2161.6368965217853
SID10406,5686.569129095779
SID104206,3303.9123981677762
SID10423,2472.811558200164
SID104579,2700.035672025256
SID104645,2862.1220495509583
SID104714,2112.6207925350377
SID104874,3295.1210939972884
SID104928,2285.510156806192
SID104934,2258.6793342807123
SID104969,1928.3204719598468
SID104986,1931.1173326257028
SID105104,1874.588837924091
SID105162,2101.803285695404
SID105400,2085.2891737459304
SID10551,2357.4293033073745
SID105678,3201.9051060395004
SID105705,2677.038371660201
SID106087,2138.9827555922047
SID106101,2560.618314262055
SID106182,1722.0211149235645
SID106198,2497.929305176894
SID106319,2796.874649242404
SID106381,1679.2110808554983
SID106413,1755.8992460323113
SID106746,2900.1959004896003
SID106899,2442.3594600782294
SID106948,2071.969741622866
SID107113,2630.9358486250185
SID107158,2301.5292630158247
SID10716,2720.746219289353
SID107167,2931.7923230935266
SID107186,2101.774522991174
SID107435,3142.1884443344293
SID10752,2892.7745415395616
SID107764,2460.7511982020715
SID107805,2347.3730306564375
SID108078,2206.8838071826335
SID108110,2756.0314609749935
SID108370,2924.068383551974
SID108437,2445.3116386224497
SID108442,2397.478542155572
SID108535,1873.5557783829356
SID10854,1943.5698966745115
SID108576,3163.20725080242
SID1086,3814.2357916775104
SID108777,3905.558900876266
SID108786,3001.093549352456
SID108800,1424.9530248167514
SID108855,2665.5825141906266
SID108874,2840.553082946493
SID108922,2360.3487456372045
SID108969,1664.2149457914993
SID109084,2312.227345068386
SID109281,2459.1325449093033
SID10931,2326.84481112464
SID109386,2471.6462577842813
SID109762,2001.7854984721723
SID10985,4837.120748249081
SID109899,1994.7781496666148
SID109961,2929.6308045609107
SID110104,3687.1420132026064
SID110128,2760.1593942251143
SID110208,2392.901283515862
SID110272,2548.1361345635323
SID110279,1675.5152463493273
SID110463,2516.6678016002706
SID110512,2631.656964348278
SID110565,2374.4518962979714
SID110587,2491.7980119173067
SID11084,3029.9015676137847
SID110876,2856.7941283083724
SID1109,2117.3060604040993
SID110901,2519.9628818813503
SID110915,3795.54894396016
SID1110,2402.2576950730722
SID111029,2223.1145709568054
SID111274,2248.769873350207
SID111277,2584.4651207759916
SID111550,2324.906938968856
SID11156,4021.2008589124157
SID111741,4641.101382271272
SID111822,2074.1021514506733
SID111972,3127.8413267001624
SID112059,3062.340228542879
SID11235,2413.0448089592196
SID112360,1683.2195366006824
SID112483,2367.1246886244035
SID112620,2376.3382224471006
SID112643,3334.056005920339
SID112783,1506.0193352802219
SID11303,2861.312848190562
